question,answer
Who is Managing Director of your college?,Fr. Saturnino Almeida
Who is MD of college?,Fr. Saturnino Almeida
Who is MD of FCRIT?,Fr. Saturnino Almeida
Who is Managing Director of FCRIT?,Fr. Saturnino Almeida
Who is the chairman of your college?,Fr. Bento Rodrigues
Who is chairman of college?,Fr. Bento Rodrigues
Who is chairman of FCRIT?,Fr. Bento Rodrigues
Who is vice-chairman of your college?,Fr. Alarico Carvalho
Who is vice chairman of college?,Fr. Alarico Carvalho
Who is vice chairman of FCRIT?,Fr. Alarico Carvalho
Who is the treasurer of your college?,Fr. Peter D'Souza
Who is treasurer of college?,Fr. Peter D'Souza
Who is treasurer of FCRIT?,Fr. Peter D'Souza
Who is the Secretary of your college?,Fr. Valerian D'Souza
Who is secretary of college?,Fr. Valerian D'Souza
Who is secretary of FCRIT?,Fr. Valerian D'Souza
Who is the Member of your college?,Fr. Agnelo Gomes
Who is the Principal of your college?,Dr. S. M. Khot
Who is principal of college?,Dr. S. M. Khot
Who is principal of FCRIT?,Dr. S. M. Khot
Tell me about Principal?,"Ph.D. (IIT-Bombay),M.E. (Mechanical-Design Engineering) ,B.E. (Mechanical Engineering)"
What is qualification of principal?,"Ph.D. (IIT-Bombay),M.E. (Mechanical-Design Engineering) ,B.E. (Mechanical Engineering)"
What is email ID of principal?,principal@fcrit.ac.in
How many departments are there ?,Five
What is number of departments in FCRIT?,Five
no. of departments in college,Five
What are department present in college?,"Computer,Mechanical,Electrical,I.T.,EXTC"
which departments exist?,"Computer,Mechanical,Electrical,I.T.,EXTC"
What are the departments in FCRIT?,"Computer,Mechanical,Electrical,I.T.,EXTC"
Tell me about College?,"FCRIT. has, within a short span of time, established itself as a leading engineering college in Mumbai University. Though its reputation rests mainly on the high quality, value-based technical education that it imparts, it has to its credit a verdant, well-maintained Campus and extensive facilities. Its location in the vicinity of the holy places of various religious denominations underscores its secular credentials and its philosophy of ""Vasudhaiva Kuttumbakam"". The college prides on being one of few that has accreditation for all five branches."
describe the college,"FCRIT. has, within a short span of time, established itself as a leading engineering college in Mumbai University. Though its reputation rests mainly on the high quality, value-based technical education that it imparts, it has to its credit a verdant, well-maintained Campus and extensive facilities. Its location in the vicinity of the holy places of various religious denominations underscores its secular credentials and its philosophy of ""Vasudhaiva Kuttumbakam"". The college prides on being one of few that has accreditation for all five branches."
describe FCRIT,"FCRIT. has, within a short span of time, established itself as a leading engineering college in Mumbai University. Though its reputation rests mainly on the high quality, value-based technical education that it imparts, it has to its credit a verdant, well-maintained Campus and extensive facilities. Its location in the vicinity of the holy places of various religious denominations underscores its secular credentials and its philosophy of ""Vasudhaiva Kuttumbakam"". The college prides on being one of few that has accreditation for all five branches."
elaborate about college,"FCRIT. has, within a short span of time, established itself as a leading engineering college in Mumbai University. Though its reputation rests mainly on the high quality, value-based technical education that it imparts, it has to its credit a verdant, well-maintained Campus and extensive facilities. Its location in the vicinity of the holy places of various religious denominations underscores its secular credentials and its philosophy of ""Vasudhaiva Kuttumbakam"". The college prides on being one of few that has accreditation for all five branches."
What is the intake capacity of computer department ?,120
What is annual intake for computer?,120
What is number of seats in computer department?,120
What is availability in computer department?,120
What is annual intake for IT?,60
What is the number of seats in IT department?,60
What is availability in IT?,60
What is the intake capacity of I.T department ?,60
What is the intake capacity of E.X.T.C. department ?,60
What is annual intake for EXTC?,60
What is number of seats in EXTC department?,60
What is availability in EXTC?,60
What is the intake capacity of Mechanical department ?,120
What is annual intake for mechanical?,120
What is the number of seats in mechanical department?,120
What is availability in mechanical ?,120
What is the intake capacity of Electrical department ?,60
What is annual intake for electrical?,60
What is the number of seats in electrical department?,60
What is availability in electrical?,60
Tell me about computer department?,"The Department of Computer Engineering at Fr. C. Rodrigues Institute of Technology, Vashi, was established in 1994. The department continuously strives to comply the goal of providing innovative and quality education with the emerging technologies to achieve academic excellence and provides platform for the students to achieve their career goals. The department has proud privilege of having qualified, experienced and dedicated faculty. It has modern computing amenities equipped with latest tools and technologies. The faculty members are working with a tremendous team-spirit to create best technocrats for industry and to accept the challenge in the global world. The department has strong collaboration with research organizations and leading industries. Our graduates have distinguished themselves in higher studies at the top Universities in India and abroad. They also occupy positions of eminence in the computer industry. To provide value-added inputs and exposure to industry, our Alumni remain in constant touch with the department by providing their contribution in conducting various workshops with hand-on experience and expert lectures. The National Board of Accreditation (NBA), New Delhi, has accredited the department twice in the year 2006 and year 2012."
describe computer department,"The Department of Computer Engineering at Fr. C. Rodrigues Institute of Technology, Vashi, was established in 1994. The department continuously strives to comply the goal of providing innovative and quality education with the emerging technologies to achieve academic excellence and provides platform for the students to achieve their career goals. The department has proud privilege of having qualified, experienced and dedicated faculty. It has modern computing amenities equipped with latest tools and technologies. The faculty members are working with a tremendous team-spirit to create best technocrats for industry and to accept the challenge in the global world. The department has strong collaboration with research organizations and leading industries. Our graduates have distinguished themselves in higher studies at the top Universities in India and abroad. They also occupy positions of eminence in the computer industry. To provide value-added inputs and exposure to industry, our Alumni remain in constant touch with the department by providing their contribution in conducting various workshops with hand-on experience and expert lectures. The National Board of Accreditation (NBA), New Delhi, has accredited the department twice in the year 2006 and year 2012."
elaborate on computer department,"The Department of Computer Engineering at Fr. C. Rodrigues Institute of Technology, Vashi, was established in 1994. The department continuously strives to comply the goal of providing innovative and quality education with the emerging technologies to achieve academic excellence and provides platform for the students to achieve their career goals. The department has proud privilege of having qualified, experienced and dedicated faculty. It has modern computing amenities equipped with latest tools and technologies. The faculty members are working with a tremendous team-spirit to create best technocrats for industry and to accept the challenge in the global world. The department has strong collaboration with research organizations and leading industries. Our graduates have distinguished themselves in higher studies at the top Universities in India and abroad. They also occupy positions of eminence in the computer industry. To provide value-added inputs and exposure to industry, our Alumni remain in constant touch with the department by providing their contribution in conducting various workshops with hand-on experience and expert lectures. The National Board of Accreditation (NBA), New Delhi, has accredited the department twice in the year 2006 and year 2012."
What is vision of computer department?,To contribute significantly towards industry and research oriented technical education leading to self-sustainable professionals and responsible citizens.
describe vision of computer department,To contribute significantly towards industry and research oriented technical education leading to self-sustainable professionals and responsible citizens.
elaborate on vision for computer department ,To contribute significantly towards industry and research oriented technical education leading to self-sustainable professionals and responsible citizens.
What is the vision of computer department?,To contribute significantly towards industry and research oriented technical education leading to self-sustainable professionals and responsible citizens.
What is mission of computer department?,"To provide quality and application oriented education to meet the industry requirements.To prepare technically competent, ethical, socially committed professionals with good leadership qualities. To facilitate an opportunity to interact with prominent institutes, alumni and industries to understand the emerging trends in computer technology."
describe mission of computer department,"To provide quality and application oriented education to meet the industry requirements.To prepare technically competent, ethical, socially committed professionals with good leadership qualities. To facilitate an opportunity to interact with prominent institutes, alumni and industries to understand the emerging trends in computer technology."
elaborate on mission for computer department ,"To provide quality and application oriented education to meet the industry requirements.To prepare technically competent, ethical, socially committed professionals with good leadership qualities. To facilitate an opportunity to interact with prominent institutes, alumni and industries to understand the emerging trends in computer technology."
What is the mission of computer department?,"To provide quality and application oriented education to meet the industry requirements.To prepare technically competent, ethical, socially committed professionals with good leadership qualities. To facilitate an opportunity to interact with prominent institutes, alumni and industries to understand the emerging trends in computer technology."
What is address of college?,"Agnel Technical Education Complex, Sector 9-A, Vashi, Navi Mumbai, Maharashtra, India, PIN - 400703"
where is FCRIT located?,"Agnel Technical Education Complex, Sector 9-A, Vashi, Navi Mumbai, Maharashtra, India, PIN - 400704"
Where is college located at?,"Agnel Technical Education Complex, Sector 9-A, Vashi, Navi Mumbai, Maharashtra, India, PIN - 400705"
What is location of FCRIT?,"Agnel Technical Education Complex, Sector 9-A, Vashi, Navi Mumbai, Maharashtra, India, PIN - 400706"
How many minority seats are there?,"FCRIT. has been granted “Christian Religious Minority” status by Government of Maharashtra and 51 % of total seats for the Undergraduate and Masters Program, in each branch, are reserved for candidates belonging to the ‘Christian Religion’."
What is minority quota in college?,"FCRIT. has been granted “Christian Religious Minority” status by Government of Maharashtra and 51 % of total seats for the Undergraduate and Masters Program, in each branch, are reserved for candidates belonging to the ‘Christian Religion’."
How many minority seats in FCRIT?,"FCRIT. has been granted “Christian Religious Minority” status by Government of Maharashtra and 51 % of total seats for the Undergraduate and Masters Program, in each branch, are reserved for candidates belonging to the ‘Christian Religion’."
minority status,"FCRIT. has been granted “Christian Religious Minority” status by Government of Maharashtra and 51 % of total seats for the Undergraduate and Masters Program, in each branch, are reserved for candidates belonging to the ‘Christian Religion’."
placement ?,https://fcrit.ac.in/placement_home
placement cell website,https://fcrit.ac.in/placement_home
placement information,https://fcrit.ac.in/placement_home
placements in FCRIT,https://fcrit.ac.in/placement_home
placement in college,https://fcrit.ac.in/placement_home
phone ?,9769764884
What is admission enquiry number?,9769764884
mobile no.,9769764884
What is enquiry number?,9769764884
What is the placement cell?,"The FCRIT, Training and Placement cell is committed to provide quality placement to all eligible students.The cell assists students in developing and implementing successful job strategies. They counsel students in developing/ clarifying their academic and career interests."
Is there placement group in college?,"The FCRIT, Training and Placement cell is committed to provide quality placement to all eligible students.The cell assists students in developing and implementing successful job strategies. They counsel students in developing/ clarifying their academic and career interests."
Is there placement facility in college?,"The FCRIT, Training and Placement cell is committed to provide quality placement to all eligible students.The cell assists students in developing and implementing successful job strategies. They counsel students in developing/ clarifying their academic and career interests."
placement cell in FCRIT,"The FCRIT, Training and Placement cell is committed to provide quality placement to all eligible students.The cell assists students in developing and implementing successful job strategies. They counsel students in developing/ clarifying their academic and career interests."
Who is placement officer?,Dr. Mahendra Rane
who is placement officer of college?,Dr. Mahendra Rane
placement officer of FCRIT,Dr. Mahendra Rane
Where is the library?,Library is available in the old building in FCRIT campus.
Is there library facility?,Library is available in the old building in FCRIT campus.
Where is library in college?,Library is available in the old building in FCRIT campus.
Where is library in FCRIT?,Library is available in the old building in FCRIT campus.
Is there honors / minors in computer department?,"At under graduate level, for computer deparment, FCRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
Is there honors / minors in computer ?,"At under graduate level, for computer deparment, FCRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
Is there honors / minors in computer department  in college?,"At under graduate level, for computer deparment, FCRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
Is there honors / minors in computer department? in FCRIT,"At under graduate level, for computer deparment, FCRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
Is there honors / minors in IT department?,"At under graduate level, for IT deparment, FCRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
Is there honors / minors in IT ?,"At under graduate level, for IT deparment, FCRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
Is there honors / minors in IT department in college?,"At under graduate level, for IT deparment, FCRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
Is there honors / minors in IT departmentin FCRIT?,"At under graduate level, for IT deparment, FCRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
Is there honors / minors in mechanical department?,"At under graduate level, for Mechanical deparment, FCRIT offers honors in 3D Printing, IOT, Electric Vehicle, Data science and minors in AIML, Cyber Security"
Is there honors / minors in mechanical ?,"At under graduate level, for Mechanical deparment, FCRIT offers honors in 3D Printing, IOT, Electric Vehicle, Data science and minors in AIML, Cyber Security"
Is there honors / minors in mechanical department in college?,"At under graduate level, for Mechanical deparment, FCRIT offers honors in 3D Printing, IOT, Electric Vehicle, Data science and minors in AIML, Cyber Security"
Is there honors / minors in mechanical department in FCRIT?,"At under graduate level, for Mechanical deparment, FCRIT offers honors in 3D Printing, IOT, Electric Vehicle, Data science and minors in AIML, Cyber Security"
Is there honors / minors in electrical department?,"At under graduate level, for electrical deparment, FCRIT offers honors in  Electrical Vehicle, Micro Grid Tech,  Data science and minors in AIML,IOT, Cyber Security"
Is there honors / minors in electrical ?,"At under graduate level, for electrical deparment, FCRIT offers honors in  Electrical Vehicle, Micro Grid Tech,  Data science and minors in AIML,IOT, Cyber Security"
Is there honors / minors in electrical department in college?,"At under graduate level, for electrical deparment, FCRIT offers honors in  Electrical Vehicle, Micro Grid Tech,  Data science and minors in AIML,IOT, Cyber Security"
Is there honors / minors in electrical department in FCRIT?,"At under graduate level, for electrical deparment, FCRIT offers honors in  Electrical Vehicle, Micro Grid Tech,  Data science and minors in AIML,IOT, Cyber Security"
Is there honors / minors in EXTC department?,"At under graduate level, for EXTC deparment, FCRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
Is there honors / minors in EXTC ?,"At under graduate level, for EXTC deparment, FCRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
Is there honors / minors in EXTC department in college?,"At under graduate level, for EXTC deparment, FCRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
Is there honors / minors in EXTC department in FCRIT?,"At under graduate level, for EXTC deparment, FCRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
Who is Dean academics?,Dr. Milind Shah
Who isDean academics in college?,Dr. Milind Shah
Who is Dean academics for FCRIT?,Dr. Milind Shah
Who is Dean Student Affairs?,Dr. Bindu S. Nair
Who is Dean Student Affairs in college?,Dr. Bindu S. Nair
Who is Dean Student Affairs in FCRIT?,Dr. Bindu S. Nair
Who is Dean R & D?,Dr. Sushil Thale
Who is Dean R & D in college?,Dr. Sushil Thale
Who is Dean R & D in FCRIT?,Dr. Sushil Thale
Who is Dean PG Studies?,Dr. Lata Ragha
Who is Dean PG Studies in college?,Dr. Lata Ragha
Who is Dean PG Studies in FCRIT?,Dr. Lata Ragha
Who is Dean Faculties? ,Dr. Nilaj Deshmukh
Who is Dean Faculties in college?,Dr. Nilaj Deshmukh
Who is Dean Faculties in FCRIT?,Dr. Nilaj Deshmukh
What is Student Council?,"The student council is a body which represents the entire student community and undertakes the organization of various events and fests in the institute. Apart from regularly organising annual events like the independence day, republic day and Teachers’ day, the Student Council along with a host of other students organises an intra-collegiate fest (FACES) and an inter collegiate techno fest (Eta Max)."
Is there student council in college?,"The student council is a body which represents the entire student community and undertakes the organization of various events and fests in the institute. Apart from regularly organising annual events like the independence day, republic day and Teachers’ day, the Student Council along with a host of other students organises an intra-collegiate fest (FACES) and an inter collegiate techno fest (Eta Max)."
Is there student council of FCRIT?,"The student council is a body which represents the entire student community and undertakes the organization of various events and fests in the institute. Apart from regularly organising annual events like the independence day, republic day and Teachers’ day, the Student Council along with a host of other students organises an intra-collegiate fest (FACES) and an inter collegiate techno fest (Eta Max)."
describe the student council,"The student council is a body which represents the entire student community and undertakes the organization of various events and fests in the institute. Apart from regularly organising annual events like the independence day, republic day and Teachers’ day, the Student Council along with a host of other students organises an intra-collegiate fest (FACES) and an inter collegiate techno fest (Eta Max)."
What is FACES?,"FACES (intra-collegiate fest) is conducted in the odd semester with sports and cultural events,"
What is intra collegiate fest?,"FACES (intra-collegiate fest) is conducted in the odd semester with sports and cultural events,"
What is sports fest?,"FACES (intra-collegiate fest) is conducted in the odd semester with sports and cultural events,"
What is techno fest?,Eta max ( inter collegiate techno fest) is celebrated in the even semester with the highlight on technical events and workshops.
What is technical fest?,Eta max ( inter collegiate techno fest) is celebrated in the even semester with the highlight on technical events and workshops.
What is inter collegiate techno fest?,Eta max ( inter collegiate techno fest) is celebrated in the even semester with the highlight on technical events and workshops.
What is Eta Max?,Eta max ( inter collegiate techno fest) is celebrated in the even semester with the highlight on technical events and workshops.
What are Student Clubs?,"FCRIT offers students to be part of different clubs like Agnel Robotics Club, Agnel sports club, AI and Deep Learning club, Music club,Drama club,College Magazine , Coders' Club"
Is there student clubs in college?,"FCRIT offers students to be part of different clubs like Agnel Robotics Club, Agnel sports club, AI and Deep Learning club, Music club,Drama club,College Magazine , Coders' Club"
Is there Student Clubs in FCRIT?,"FCRIT offers students to be part of different clubs like Agnel Robotics Club, Agnel sports club, AI and Deep Learning club, Music club,Drama club,College Magazine , Coders' Club"
What is the Infrastructure?,"FCRIT infrastructure consists of a library, gymnasium, boys and girls hostel, swimming pool, medical centre, meditation centre, basketball court, football turf, badminton gurukul, canteen"
What is infrastructure in college?,"FCRIT infrastructure consists of a library, gymnasium, boys and girls hostel, swimming pool, medical centre, meditation centre, basketball court, football turf, badminton gurukul, canteen"
What is infrastructure in FCRIT?,"FCRIT infrastructure consists of a library, gymnasium, boys and girls hostel, swimming pool, medical centre, meditation centre, basketball court, football turf, badminton gurukul, canteen"
What about ragging / anti-ragging?,"""Ragging is cognizable offense and is banned in any form inside and outside the campus"". In order to ensure that the ragging does not take place in the institute in any form, the institute has constituted an Anti-Ragging Committee which would conduct raids and detect the cases, if any and suggest preventive measures. Any student becoming a victim of ragging should immediately inform to the members of Anti-Ragging Committee."
Is there anti ragging committee?,"""Ragging is cognizable offense and is banned in any form inside and outside the campus"". In order to ensure that the ragging does not take place in the institute in any form, the institute has constituted an Anti-Ragging Committee which would conduct raids and detect the cases, if any and suggest preventive measures. Any student becoming a victim of ragging should immediately inform to the members of Anti-Ragging Committee."
Is there ragging in college?,"""Ragging is cognizable offense and is banned in any form inside and outside the campus"". In order to ensure that the ragging does not take place in the institute in any form, the institute has constituted an Anti-Ragging Committee which would conduct raids and detect the cases, if any and suggest preventive measures. Any student becoming a victim of ragging should immediately inform to the members of Anti-Ragging Committee."
Is there ragging in FCRIT?,"""Ragging is cognizable offense and is banned in any form inside and outside the campus"". In order to ensure that the ragging does not take place in the institute in any form, the institute has constituted an Anti-Ragging Committee which would conduct raids and detect the cases, if any and suggest preventive measures. Any student becoming a victim of ragging should immediately inform to the members of Anti-Ragging Committee."
Is there library website?,https://library.fcrit.ac.in/
what is the institute roadmap?,https://fcrit.ac.in/about-us/institute_roadmap 
Who are Trustees of the college?,"List of Trustees

Fr. Bento Rodrigues
Chairman
Fr. Alarico Carvalho
Vice Chairman
Fr. Peter D'Souza
Treasurer
Fr. Valerian D'Souza
Secretary
Fr. Agnelo Gomes
Member"
Who is HOD of Computer department?,Dr. Kiruthika M
who is the Head of the computer department? ,Dr. Kiruthika M
Who is Assistant HOD of computer department?,Dr.Jyoti More
Who is the assistant head of the computer department? ,Dr.Jyoti More
Who is HOD of Mechanical department?,Dr.Aqleem Siddiqui
who is the Head of the Mechanical department? ,Dr.Aqleem Siddiqui
Who is Assistant HOD of Mechanical department?,Dr.Dhananjay Panchagade
Who is the assistant head of the Mechanical department? ,Dr.Dhananjay Panchagade
Who is HOD of EXTC department?,Dr.Megha Kolhekar
who is the Head of the EXTC department? ,Dr.Megha Kolhekar
Who is Assistant HOD of EXTC department?,Dr.Pranali Choudhari
Who is the assistant head of the EXTC department? ,Dr.Pranali Choudhari
Who is HOD of Electrical department?,Dr. Bindu S. 
who is the Head of the electrical department? ,Dr. Bindu S. 
Who is Assistant HOD of electrical department?,Dr. Bindu R. 
Who is the assistant head of the electrical department? ,Dr. Bindu R. 
Who is HOD of IT department?,Dr. Shubhangi Vaikole
who is the Head of the IT department? ,Dr. Shubhangi Vaikole
Who is Assistant HOD of IT department?,Dr.Vaishali B.
Who is the assistant head of the IT department? ,Dr.Vaishali B.
Who is HOD of Humanities department?,"Dr,Christu Nesam"
who is the Head of the Humanities department? ,"Dr,Christu Nesam"
Who is Assistant HOD of Humanities department?,Dr.Pritha B.
Who is the assistant head of the Humanities department? ,Dr.Pritha B.
Who is Dean students and alumni? ,Dr.Lata Ragha
Who is Dean students and alumni in college,Dr.Lata Ragha
Who is Dean students and alumni in FCRIT?,Dr.Lata Ragha
Who is Associate Dean academics? ,Dr.Chaya Pawar
Who is Associate Dean academics in college?,Dr.Chaya Pawar
Who is Associate Dean academics in FCRIT?,Dr.Chaya Pawar
Who is Associate Dean R & D and industry Liasoning? ,Dr.Krishnan S.
Who is Associate Dean R & D and industry Liasoning in college?,Dr.Krishnan S.
Who is Associate Dean R & D and industry Liasoning in FCRIT?,Dr.Krishnan S.
Who is Associate Dean Admin and Faculty ? ,Dr.Pranali Choudhari
Who is Associate Dean Admin and Faculty in college?,Dr.Pranali Choudhari
Who is Associate Dean Admin and Faculty in FCRIT?,Dr.Pranali Choudhari
Who is Associate Dean Students and alumni? ,Dr.Mini Rajeev
Who is Associate Dean Admin and Faculty in college?,Dr.Mini Rajeev
Who is Associate Dean Admin and Faculty in FCRIT?,Dr.Mini Rajeev
What are the different student clubs in college?,"Agnel Robotics Club
 ,Agnel Sports Club
 ,Drama Club
 ,AI and Deep Learning Club
 ,Music Club
 ,College Magazine
 ,Coders' Club."
What are different student clubs?,"Agnel Robotics Club
 ,Agnel Sports Club
 ,Drama Club
 ,AI and Deep Learning Club
 ,Music Club
 ,College Magazine
 ,Coders' Club."
What are the different professional bodies present in the college?,"  SAE-Society of Automotive Engineers India
 ,IEEE-The Institute of Electrical and Electronics Engineers
 ,IE-The Institution of Engineers (India)
 .CSI-Computer Society of India
 ,ISHRAE-The Indian Society of Heating, Refrigerating and Air Conditioning Engineers
 ,IETE-The Institution of Electronics and Telecommunication Engineers"
Which Professional bodies are there in FCRIT?," SAE-Society of Automotive Engineers India
 ,IEEE-The Institute of Electrical and Electronics Engineers
 ,IE-The Institution of Engineers (India)
 .CSI-Computer Society of India
 ,ISHRAE-The Indian Society of Heating, Refrigerating and Air Conditioning Engineers
 ,IETE-The Institution of Electronics and Telecommunication Engineers"
Is there NSS unit in college?,"Yes, College NSS unit has conducted various activities under NSS like participation in university level peace march on the occasion of celebration of 150th birth anniversary of mahatma Gandhi and pledge on nation unity day etc.."
What is last year report for the NSS unit?,https://fcrit.ac.in/static_pdfs/NSS%20FCRIT%20ACTIVITIES%20Year%202021-22%20W.pdf 
Is there direct second year admissions in the college?,"10 % seats of the sanctioned intakes would be admitted through the centralized process directly to the Second Year Engineering.

The admission process would be as per the DTE Directives"
Who is Assistant Placement Officer?,"Prof. Deepak Devasagayam
Mobile : 9920827263

Prof. Mritunjay Ojha
Mobile : 9987800789"
Who are the Assistant Placement Officer in FCRIT?,"Prof. Deepak Devasagayam
Mobile : 9920827263

Prof. Mritunjay Ojha
Mobile : 9987800789"
What is the fee payment link for FCRIT?,https://www.eduqfix.com/PayDirect/#/student/pay/XxoRsO6mfiXGAnQY1R64lGgQcWtw4tYKPWYLPO8nzoGBvtL6DIe+F9YjQMK1keFr/254 
What is Fee payment link?,https://www.eduqfix.com/PayDirect/#/student/pay/XxoRsO6mfiXGAnQY1R64lGgQcWtw4tYKPWYLPO8nzoGBvtL6DIe+F9YjQMK1keFr/254 
FCRIT,"Father Conceicao Rodrigues Institute of Technology (FCRIT) is a private engineering college affiliated to the University of Mumbai located in Vashi, Navi Mumbai. FCRIT is a private, un-aided, minority, non-autonomous institute affiliated to the University of Mumbai. 
It offers a four-year baccalaureate course culminating in the B.E. degree conferred by the university.
The institute has been graded A by the Directorate of Technical Education, Government of Maharashtra State."
What is FCRIT?,"Father Conceicao Rodrigues Institute of Technology (FCRIT) is a private engineering college affiliated to the University of Mumbai located in Vashi, Navi Mumbai. FCRIT is a private, un-aided, minority, non-autonomous institute affiliated to the University of Mumbai. 
It offers a four-year baccalaureate course culminating in the B.E. degree conferred by the university.
The institute has been graded A by the Directorate of Technical Education, Government of Maharashtra State."
What is Recognition for FCRIT?,"It is recognised by the AICTE and has received accreditation from the National Board of Accreditation(NBA), New Delhi. "
What is accreditation of FCRIT?,"It is recognised by the AICTE and has received accreditation from the National Board of Accreditation(NBA), New Delhi. "
What is admission process of FCRIT?,"The admission process is highly competitive and is undertaken as per the directives of the Directorate of Technical Education(DTE), Maharashtra State. 
For admission to the FCRIT, prospective candidates from the native state of Maharashtra need to pass their Higher Secondary (School) Certificate / Standard XII examination of the Maharashtra State Board of Secondary and Higher Secondary Education or its equivalent from CBSE or CISCE. 
All prospective candidates need to have had the subjects of English, Physics, Chemistry and Mathematics in their curriculum and should have obtained a minimum of 50% marks in the Science subjects (Physics, Chemistry) and Mathematics added together. 
Prospective candidates from outside the state of Maharashtra can also apply provided they satisfy the required eligibility criteria. 
Prospective students need to take the Maharashtra Engineering Common Entrance Test or MAH-EN-CET. "
How to get admission in FCRIT?,"The admission process is highly competitive and is undertaken as per the directives of the Directorate of Technical Education(DTE), Maharashtra State. 
For admission to the FCRIT, prospective candidates from the native state of Maharashtra need to pass their Higher Secondary (School) Certificate / Standard XII examination of the Maharashtra State Board of Secondary and Higher Secondary Education or its equivalent from CBSE or CISCE. 
All prospective candidates need to have had the subjects of English, Physics, Chemistry and Mathematics in their curriculum and should have obtained a minimum of 50% marks in the Science subjects (Physics, Chemistry) and Mathematics added together. 
Prospective candidates from outside the state of Maharashtra can also apply provided they satisfy the required eligibility criteria. 
Prospective students need to take the Maharashtra Engineering Common Entrance Test or MAH-EN-CET. "
What is MHCET?,"The MAH-EN-CET consists of only one common exam that is divided into 3 sections - physics, chemistry and mathematics with 50 multiple choice questions in each. 
The total score in these sections taken together decides the merit list for the exam in a given year.

The syllabus for preparing for the MAH-EN-CET is the same as the Physics, Chemistry and Mathematics syllabus prescribed by the Maharashtra State Board of Secondary and Higher Secondary Education for the Higher Secondary (School) Certificate / Standard XII examination conducted in the current academic year.
This merit list is used as a differentiating factor for admissions to FCRIT. "
