question,answer
elaborate about college,"Fr. CRIT. has, within a short span of time, established itself as a leading engineering college in Mumbai University. Though its reputation rests mainly on the high quality, value-based technical education that it imparts, it has to its credit a verdant, well-maintained Campus and extensive facilities. Its location in the vicinity of the holy places of various religious denominations underscores its secular credentials and its philosophy of ""Vasudhaiva Kuttumbakam"". The college prides on being one of few that has accreditation for all five branches."
What is the intake capacity of computer department ?,120
annual intake for computer,120
number of seats in computer department,120
availability in computer,120
annual intake for IT,60
number of seats in IT department,60
availability in IT,60
What is the intake capacity of I.T department ?,60
What is the intake capacity of E.X.T.C. department ?,60
annual intake for EXTC,60
number of seats in EXTC department,60
availability in EXTC,60
What is the intake capacity of Mechanical department ?,120
annual intake for mechanical,120
number of seats in mechanical department,120
availability in mechanical ,120
What is the intake capacity of Electrical department ?,60
annual intake for electrical,60
number of seats in electrical department,60
availability in electrical,60
Tell me about computer department?,"The Department of Computer Engineering at Fr. C. Rodrigues Institute of Technology, Vashi, was established in 1994. The department continuously strives to comply the goal of providing innovative and quality education with the emerging technologies to achieve academic excellence and provides platform for the students to achieve their career goals. The department has proud privilege of having qualified, experienced and dedicated faculty. It has modern computing amenities equipped with latest tools and technologies. The faculty members are working with a tremendous team-spirit to create best technocrats for industry and to accept the challenge in the global world. The department has strong collaboration with research organizations and leading industries. Our graduates have distinguished themselves in higher studies at the top Universities in India and abroad. They also occupy positions of eminence in the computer industry. To provide value-added inputs and exposure to industry, our Alumni remain in constant touch with the department by providing their contribution in conducting various workshops with hand-on experience and expert lectures. The National Board of Accreditation (NBA), New Delhi, has accredited the department twice in the year 2006 and year 2012."
describe computer department,"The Department of Computer Engineering at Fr. C. Rodrigues Institute of Technology, Vashi, was established in 1994. The department continuously strives to comply the goal of providing innovative and quality education with the emerging technologies to achieve academic excellence and provides platform for the students to achieve their career goals. The department has proud privilege of having qualified, experienced and dedicated faculty. It has modern computing amenities equipped with latest tools and technologies. The faculty members are working with a tremendous team-spirit to create best technocrats for industry and to accept the challenge in the global world. The department has strong collaboration with research organizations and leading industries. Our graduates have distinguished themselves in higher studies at the top Universities in India and abroad. They also occupy positions of eminence in the computer industry. To provide value-added inputs and exposure to industry, our Alumni remain in constant touch with the department by providing their contribution in conducting various workshops with hand-on experience and expert lectures. The National Board of Accreditation (NBA), New Delhi, has accredited the department twice in the year 2006 and year 2012."
elaborate on computer department,"The Department of Computer Engineering at Fr. C. Rodrigues Institute of Technology, Vashi, was established in 1994. The department continuously strives to comply the goal of providing innovative and quality education with the emerging technologies to achieve academic excellence and provides platform for the students to achieve their career goals. The department has proud privilege of having qualified, experienced and dedicated faculty. It has modern computing amenities equipped with latest tools and technologies. The faculty members are working with a tremendous team-spirit to create best technocrats for industry and to accept the challenge in the global world. The department has strong collaboration with research organizations and leading industries. Our graduates have distinguished themselves in higher studies at the top Universities in India and abroad. They also occupy positions of eminence in the computer industry. To provide value-added inputs and exposure to industry, our Alumni remain in constant touch with the department by providing their contribution in conducting various workshops with hand-on experience and expert lectures. The National Board of Accreditation (NBA), New Delhi, has accredited the department twice in the year 2006 and year 2012."
vision of computer department,To contribute significantly towards industry and research oriented technical education leading to self-sustainable professionals and responsible citizens.
describe vision of computer department,To contribute significantly towards industry and research oriented technical education leading to self-sustainable professionals and responsible citizens.
elaborate on vision for computer department ,To contribute significantly towards industry and research oriented technical education leading to self-sustainable professionals and responsible citizens.
What is the vision of computer department?,To contribute significantly towards industry and research oriented technical education leading to self-sustainable professionals and responsible citizens.
mission of computer department,"To provide quality and application oriented education to meet the industry requirements.To prepare technically competent, ethical, socially committed professionals with good leadership qualities. To facilitate an opportunity to interact with prominent institutes, alumni and industries to understand the emerging trends in computer technology."
describe mission of computer department,"To provide quality and application oriented education to meet the industry requirements.To prepare technically competent, ethical, socially committed professionals with good leadership qualities. To facilitate an opportunity to interact with prominent institutes, alumni and industries to understand the emerging trends in computer technology."
elaborate on mission for computer department ,"To provide quality and application oriented education to meet the industry requirements.To prepare technically competent, ethical, socially committed professionals with good leadership qualities. To facilitate an opportunity to interact with prominent institutes, alumni and industries to understand the emerging trends in computer technology."
What is the mission of computer department?,"To provide quality and application oriented education to meet the industry requirements.To prepare technically competent, ethical, socially committed professionals with good leadership qualities. To facilitate an opportunity to interact with prominent institutes, alumni and industries to understand the emerging trends in computer technology."
Location of college?,"Agnel Technical Education Complex, Sector 9-A, Vashi, Navi Mumbai, Maharashtra, India, PIN - 400703"
where is Fr. CRIT located?,"Agnel Technical Education Complex, Sector 9-A, Vashi, Navi Mumbai, Maharashtra, India, PIN - 400704"
college situated at?,"Agnel Technical Education Complex, Sector 9-A, Vashi, Navi Mumbai, Maharashtra, India, PIN - 400705"
location of Fr. CRIT,"Agnel Technical Education Complex, Sector 9-A, Vashi, Navi Mumbai, Maharashtra, India, PIN - 400706"
Minority seats?,"Fr. CRIT. has been granted “Christian Religious Minority” status by Government of Maharashtra and 51 % of total seats for the Undergraduate and Masters Program, in each branch, are reserved for candidates belonging to the ‘Christian Religion’."
minority quota in college,"Fr. CRIT. has been granted “Christian Religious Minority” status by Government of Maharashtra and 51 % of total seats for the Undergraduate and Masters Program, in each branch, are reserved for candidates belonging to the ‘Christian Religion’."
minority seats in Fr. CRIT,"Fr. CRIT. has been granted “Christian Religious Minority” status by Government of Maharashtra and 51 % of total seats for the Undergraduate and Masters Program, in each branch, are reserved for candidates belonging to the ‘Christian Religion’."
minority status,"Fr. CRIT. has been granted “Christian Religious Minority” status by Government of Maharashtra and 51 % of total seats for the Undergraduate and Masters Program, in each branch, are reserved for candidates belonging to the ‘Christian Religion’."
placement ?,https://fcrit.ac.in/placement_home
placement cell website,https://fcrit.ac.in/placement_home
placement information,https://fcrit.ac.in/placement_home
placements i Fr. CRIT,https://fcrit.ac.in/placement_home
placement in college,https://fcrit.ac.in/placement_home
phone ?,9769764884
admission enquiry number,9769764884
mobile no.,9769764884
enquiry number,9769764884
placement cell?,"The Fr. CRIT, Training and Placement cell is committed to provide quality placement to all eligible students.The cell assists students in developing and implementing successful job strategies. They counsel students in developing/ clarifying their academic and career interests."
placement group in college,"The Fr. CRIT, Training and Placement cell is committed to provide quality placement to all eligible students.The cell assists students in developing and implementing successful job strategies. They counsel students in developing/ clarifying their academic and career interests."
placement facility in college,"The Fr. CRIT, Training and Placement cell is committed to provide quality placement to all eligible students.The cell assists students in developing and implementing successful job strategies. They counsel students in developing/ clarifying their academic and career interests."
placement cell in Fr. CRIT,"The Fr. CRIT, Training and Placement cell is committed to provide quality placement to all eligible students.The cell assists students in developing and implementing successful job strategies. They counsel students in developing/ clarifying their academic and career interests."
placement officer?,Dr. Mahendra Rane
placement officer of college,Dr. Mahendra Rane
placement officer of Fr. CRIT,Dr. Mahendra Rane
library?,Library is available in the old building in Fr. CRIT campus.
library facility,Library is available in the old building in Fr. CRIT campus.
library in college,Library is available in the old building in Fr. CRIT campus.
library in Fr. CRIT,Library is available in the old building in Fr. CRIT campus.
honors / minors in computer department?,"At under graduate level, for computer deparment, Fr. CRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
honors / minors in computer ?,"At under graduate level, for computer deparment, Fr. CRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
honors / minors in computer department  in college?,"At under graduate level, for computer deparment, Fr. CRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
honors / minors in computer department? in Fr. CRIT,"At under graduate level, for computer deparment, Fr. CRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
honors / minors in IT department?,"At under graduate level, for IT deparment, Fr. CRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
honors / minors in IT ?,"At under graduate level, for IT deparment, Fr. CRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
honors / minors in IT department in college?,"At under graduate level, for IT deparment, Fr. CRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
honors / minors in IT departmentin Fr. CRIT?,"At under graduate level, for IT deparment, Fr. CRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
honors / minors in mechanical department?,"At under graduate level, for Mechanical deparment, Fr. CRIT offers honors in 3D Printing, IOT, Electric Vehicle, Data science and minors in AIML, Cyber Security"
honors / minors in mechanical ?,"At under graduate level, for Mechanical deparment, Fr. CRIT offers honors in 3D Printing, IOT, Electric Vehicle, Data science and minors in AIML, Cyber Security"
honors / minors in mechanical department in college?,"At under graduate level, for Mechanical deparment, Fr. CRIT offers honors in 3D Printing, IOT, Electric Vehicle, Data science and minors in AIML, Cyber Security"
honors / minors in mechanical department in Fr. CRIT?,"At under graduate level, for Mechanical deparment, Fr. CRIT offers honors in 3D Printing, IOT, Electric Vehicle, Data science and minors in AIML, Cyber Security"
honors / minors in electrical department?,"At under graduate level, for electrical deparment, Fr. CRIT offers honors in  Electrical Vehicle, Micro Grid Tech,  Data science and minors in AIML,IOT, Cyber Security"
honors / minors in electrical ?,"At under graduate level, for electrical deparment, Fr. CRIT offers honors in  Electrical Vehicle, Micro Grid Tech,  Data science and minors in AIML,IOT, Cyber Security"
honors / minors in electrical department in college?,"At under graduate level, for electrical deparment, Fr. CRIT offers honors in  Electrical Vehicle, Micro Grid Tech,  Data science and minors in AIML,IOT, Cyber Security"
honors / minors in electrical department in Fr. CRIT?,"At under graduate level, for electrical deparment, Fr. CRIT offers honors in  Electrical Vehicle, Micro Grid Tech,  Data science and minors in AIML,IOT, Cyber Security"
honors / minors in EXTC department?,"At under graduate level, for EXTC deparment, Fr. CRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
honors / minors in EXTC ?,"At under graduate level, for EXTC deparment, Fr. CRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
honors / minors in EXTC department in college?,"At under graduate level, for EXTC deparment, Fr. CRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
honors / minors in EXTC department in Fr. CRIT?,"At under graduate level, for EXTC deparment, Fr. CRIT offers honors in AIML , IOT, Cyber Security, Data science and minors in Electric Vehicle , 3D Printing"
Dean academics?,Dr. Milind Shah
Dean academics in college,Dr. Milind Shah
Dean academics for Fr.CRIT,Dr. Milind Shah
Dean Student Affairs?,Dr. Bindu S. Nair
Dean Student Affairs in college,Dr. Bindu S. Nair
Dean Student Affairs in Fr. CRIT,Dr. Bindu S. Nair
Dean R & D?,Dr. Sushil Thale
Dean R & D in college,Dr. Sushil Thale
Dean R & D in Fr. CRIT,Dr. Sushil Thale
Dean PG Studies?,Dr. Lata Ragha
Dean PG Studies in college,Dr. Lata Ragha
Dean PG Studies in Fr. CRIT,Dr. Lata Ragha
Dean Faculties? ,Dr. Nilaj Deshmukh
Dean Faculties in college,Dr. Nilaj Deshmukh
Dean Faculties in Fr. CRIT,Dr. Nilaj Deshmukh
Student Council?,"The student council is a body which represents the entire student community and undertakes the organization of various events and fests in the institute. Apart from regularly organising annual events like the independence day, republic day and Teachers’ day, the Student Council along with a host of other students organises an intra-collegiate fest (FACES) and an inter collegiate techno fest (Eta Max)."
student council in college,"The student council is a body which represents the entire student community and undertakes the organization of various events and fests in the institute. Apart from regularly organising annual events like the independence day, republic day and Teachers’ day, the Student Council along with a host of other students organises an intra-collegiate fest (FACES) and an inter collegiate techno fest (Eta Max)."
student council of Fr. CRIT,"The student council is a body which represents the entire student community and undertakes the organization of various events and fests in the institute. Apart from regularly organising annual events like the independence day, republic day and Teachers’ day, the Student Council along with a host of other students organises an intra-collegiate fest (FACES) and an inter collegiate techno fest (Eta Max)."
describe the student council,"The student council is a body which represents the entire student community and undertakes the organization of various events and fests in the institute. Apart from regularly organising annual events like the independence day, republic day and Teachers’ day, the Student Council along with a host of other students organises an intra-collegiate fest (FACES) and an inter collegiate techno fest (Eta Max)."
FACES?,"FACES (intra-collegiate fest) is conducted in the odd semester with sports and cultural events,"
intra collegiate fest,"FACES (intra-collegiate fest) is conducted in the odd semester with sports and cultural events,"
sports fest,"FACES (intra-collegiate fest) is conducted in the odd semester with sports and cultural events,"
techno fest,Eta max ( inter collegiate techno fest) is celebrated in the even semester with the highlight on technical events and workshops.
technical fest,Eta max ( inter collegiate techno fest) is celebrated in the even semester with the highlight on technical events and workshops.
inter collegiate techno fest,Eta max ( inter collegiate techno fest) is celebrated in the even semester with the highlight on technical events and workshops.
Eta Max?,Eta max ( inter collegiate techno fest) is celebrated in the even semester with the highlight on technical events and workshops.
Student Clubs?,"Fr. CRIT offers students to be part of different clubs like Agnel Robotics Club, Agnel sports club, AI and Deep Learning club, Music club,Drama club,College Magazine , Coders' Club"
student clubs in college,"Fr. CRIT offers students to be part of different clubs like Agnel Robotics Club, Agnel sports club, AI and Deep Learning club, Music club,Drama club,College Magazine , Coders' Club"
Student Clubs in Fr. CRIT,"Fr. CRIT offers students to be part of different clubs like Agnel Robotics Club, Agnel sports club, AI and Deep Learning club, Music club,Drama club,College Magazine , Coders' Club"
Infrastructure?,"Fr. CRIT infrastructure consists of a library, gymnasium, boys and girls hostel, swimming pool, medical centre, meditation centre, basketball court, football turf, badminton gurukul, canteen"
Infrastructure in college,"Fr. CRIT infrastructure consists of a library, gymnasium, boys and girls hostel, swimming pool, medical centre, meditation centre, basketball court, football turf, badminton gurukul, canteen"
Infrastructure in Fr. CRIT,"Fr. CRIT infrastructure consists of a library, gymnasium, boys and girls hostel, swimming pool, medical centre, meditation centre, basketball court, football turf, badminton gurukul, canteen"
ragging / anti-ragging?,"""Ragging is cognizable offense and is banned in any form inside and outside the campus"". In order to ensure that the ragging does not take place in the institute in any form, the institute has constituted an Anti-Ragging Committee which would conduct raids and detect the cases, if any and suggest preventive measures. Any student becoming a victim of ragging should immediately inform to the members of Anti-Ragging Committee."
anti ragging committee,"""Ragging is cognizable offense and is banned in any form inside and outside the campus"". In order to ensure that the ragging does not take place in the institute in any form, the institute has constituted an Anti-Ragging Committee which would conduct raids and detect the cases, if any and suggest preventive measures. Any student becoming a victim of ragging should immediately inform to the members of Anti-Ragging Committee."
ragging in college,"""Ragging is cognizable offense and is banned in any form inside and outside the campus"". In order to ensure that the ragging does not take place in the institute in any form, the institute has constituted an Anti-Ragging Committee which would conduct raids and detect the cases, if any and suggest preventive measures. Any student becoming a victim of ragging should immediately inform to the members of Anti-Ragging Committee."
ragging in Fr. CRIT,"""Ragging is cognizable offense and is banned in any form inside and outside the campus"". In order to ensure that the ragging does not take place in the institute in any form, the institute has constituted an Anti-Ragging Committee which would conduct raids and detect the cases, if any and suggest preventive measures. Any student becoming a victim of ragging should immediately inform to the members of Anti-Ragging Committee."
library website?,https://library.fcrit.ac.in/
what is the institute roadmap?,https://fcrit.ac.in/about-us/institute_roadmap 
Trustees of the college?,"List of Trustees

Fr. Bento Rodrigues
Chairman
Fr. Alarico Carvalho
Vice Chairman
Fr. Peter D'Souza
Treasurer
Fr. Valerian D'Souza
Secretary
Fr. Agnelo Gomes
Member"
HOD of Computer department?,Dr. Kiruthika M
who is the Head of the computer department? ,Dr. Kiruthika M
Assistant HOD of computer department?,Dr.Jyoti More
Who is the assistant head of the computer department? ,Dr.Jyoti More
HOD of Mechanical department?,Dr.Aqleem Siddiqui
who is the Head of the Mechanical department? ,Dr.Aqleem Siddiqui
Assistant HOD of Mechanical department?,Dr.Dhananjay Panchagade
Who is the assistant head of the Mechanical department? ,Dr.Dhananjay Panchagade
HOD of EXTC department?,Dr.Megha Kolhekar
who is the Head of the EXTC department? ,Dr.Megha Kolhekar
Assistant HOD of EXTC department?,Dr.Pranali Choudhari
Who is the assistant head of the EXTC department? ,Dr.Pranali Choudhari
HOD of Electrical department?,Dr. Bindu S. 
who is the Head of the electrical department? ,Dr. Bindu S. 
Assistant HOD of electrical department?,Dr. Bindu R. 
Who is the assistant head of the electrical department? ,Dr. Bindu R. 
HOD of IT department?,Dr. Shubhangi Vaikole
who is the Head of the IT department? ,Dr. Shubhangi Vaikole
Assistant HOD of IT department?,Dr.Vaishali B.
Who is the assistant head of the IT department? ,Dr.Vaishali B.
HOD of Humanities department?,"Dr,Christu Nesam"
who is the Head of the Humanities department? ,"Dr,Christu Nesam"
Assistant HOD of Humanities department?,Dr.Pritha B.
Who is the assistant head of the Humanities department? ,Dr.Pritha B.
Dean students and alumni? ,Dr.Lata Ragha
Dean students and alumni in college,Dr.Lata Ragha
Dean students and alumni in Fr. CRIT,Dr.Lata Ragha
Associate Dean academics? ,Dr.Chaya Pawar
Associate Dean academics in college,Dr.Chaya Pawar
Associate Dean academics in Fr. CRIT,Dr.Chaya Pawar
Associate Dean R & D and industry Liasoning? ,Dr.Krishnan S.
Associate Dean R & D and industry Liasoning in college,Dr.Krishnan S.
Associate Dean R & D and industry Liasoning in Fr. CRIT,Dr.Krishnan S.
Associate Dean Admin and Faculty ? ,Dr.Pranali Choudhari
Associate Dean Admin and Faculty in college,Dr.Pranali Choudhari
Associate Dean Admin and Faculty in Fr. CRIT,Dr.Pranali Choudhari
Associate Dean Students and alumni? ,Dr.Mini Rajeev
Associate Dean Admin and Faculty in college,Dr.Mini Rajeev
Associate Dean Admin and Faculty in Fr. CRIT,Dr.Mini Rajeev
What are the different student clubs in college?,"Agnel Robotics Club
 ,Agnel Sports Club
 ,Drama Club
 ,AI and Deep Learning Club
 ,Music Club
 ,College Magazine
 ,Coders' Club."
Different student clubs?,"Agnel Robotics Club
 ,Agnel Sports Club
 ,Drama Club
 ,AI and Deep Learning Club
 ,Music Club
 ,College Magazine
 ,Coders' Club."
What are the different professional bodies present in the college?,"  SAE-Society of Automotive Engineers India
 ,IEEE-The Institute of Electrical and Electronics Engineers
 ,IE-The Institution of Engineers (India)
 .CSI-Computer Society of India
 ,ISHRAE-The Indian Society of Heating, Refrigerating and Air Conditioning Engineers
 ,IETE-The Institution of Electronics and Telecommunication Engineers"
Professional bodies in Fr.CRIT," SAE-Society of Automotive Engineers India
 ,IEEE-The Institute of Electrical and Electronics Engineers
 ,IE-The Institution of Engineers (India)
 .CSI-Computer Society of India
 ,ISHRAE-The Indian Society of Heating, Refrigerating and Air Conditioning Engineers
 ,IETE-The Institution of Electronics and Telecommunication Engineers"
NSS unit in college?,"Yes, College NSS unit has conducted various activities under NSS like participation in university level peace march on the occasion of celebration of 150th birth anniversary of mahatma Gandhi and pledge on nation unity day etc.."
Last year report for the NSS unit,https://fcrit.ac.in/static_pdfs/NSS%20FCRIT%20ACTIVITIES%20Year%202021-22%20W.pdf 
Is there direct second year admissions in the college?,"10 % seats of the sanctioned intakes would be admitted through the centralized process directly to the Second Year Engineering.

The admission process would be as per the DTE Directives"
Assistant Placement Officer,"Prof. Deepak Devasagayam
Mobile : 9920827263

Prof. Mritunjay Ojha
Mobile : 9987800789"
Who are the Assistant Placement Officer in Fr.CRIT?,"Prof. Deepak Devasagayam
Mobile : 9920827263

Prof. Mritunjay Ojha
Mobile : 9987800789"
What is the fee payment link for Fr.CRIT?,https://www.eduqfix.com/PayDirect/#/student/pay/XxoRsO6mfiXGAnQY1R64lGgQcWtw4tYKPWYLPO8nzoGBvtL6DIe+F9YjQMK1keFr/254 
Fee payment link,https://www.eduqfix.com/PayDirect/#/student/pay/XxoRsO6mfiXGAnQY1R64lGgQcWtw4tYKPWYLPO8nzoGBvtL6DIe+F9YjQMK1keFr/254 
